,13
297,"[(0, 1), (0, 7), (0, 10), (0, 11), (1, 2), (1, 3), (1, 8), (1, 12), (2, 4), (2, 5), (2, 10), (2, 12), (3, 5), (3, 9), (3, 11), (4, 7), (4, 8), (4, 9), (5, 11), (6, 9), (6, 11), (6, 12), (8, 9), (10, 12)]"
298,"[(0, 3), (0, 4), (0, 6), (0, 7), (1, 3), (1, 10), (1, 12), (2, 4), (2, 6), (2, 8), (2, 10), (3, 5), (3, 8), (3, 9), (4, 7), (4, 12), (5, 6), (5, 11), (6, 12), (7, 9), (7, 10), (8, 9), (8, 11), (10, 11), (10, 12)]"
299,"[(0, 3), (0, 6), (0, 8), (0, 9), (1, 2), (1, 4), (1, 6), (1, 8), (2, 6), (2, 7), (3, 5), (3, 10), (4, 8), (4, 10), (4, 12), (5, 6), (5, 7), (5, 8), (5, 11), (6, 11), (7, 8), (7, 11), (7, 12), (8, 9), (9, 11), (10, 11), (11, 12)]"
300,"[(0, 4), (0, 10), (0, 12), (1, 5), (1, 8), (1, 9), (1, 11), (1, 12), (2, 6), (2, 7), (2, 8), (2, 10), (3, 5), (3, 6), (3, 10), (3, 12), (4, 6), (4, 7), (4, 11), (5, 7), (5, 8), (6, 12), (7, 9), (9, 10), (9, 11)]"
301,"[(0, 3), (0, 6), (0, 7), (0, 9), (0, 11), (1, 6), (1, 7), (2, 4), (2, 6), (2, 12), (3, 6), (3, 8), (3, 11), (4, 7), (4, 10), (4, 11), (5, 8), (5, 9), (5, 10), (5, 12), (7, 9), (9, 10), (9, 12), (10, 11)]"
302,"[(0, 2), (0, 3), (0, 5), (0, 9), (1, 2), (1, 4), (1, 12), (2, 11), (3, 4), (3, 8), (4, 5), (4, 10), (5, 9), (5, 10), (6, 7), (6, 10), (6, 12), (7, 11), (8, 9), (8, 10), (8, 12), (9, 10), (9, 11), (10, 12)]"
303,"[(0, 5), (0, 8), (0, 9), (0, 10), (0, 11), (1, 4), (1, 6), (2, 5), (2, 12), (3, 7), (3, 9), (3, 11), (4, 10), (4, 12), (5, 6), (5, 9), (6, 8), (6, 11), (7, 8), (7, 10), (8, 10), (8, 11), (10, 12), (11, 12)]"
304,"[(0, 2), (0, 7), (0, 9), (0, 10), (1, 4), (1, 5), (1, 6), (1, 7), (1, 12), (2, 11), (3, 5), (3, 6), (3, 8), (3, 12), (4, 5), (4, 10), (5, 8), (6, 11), (6, 12), (7, 8), (7, 10), (9, 12), (10, 11), (10, 12)]"
305,"[(0, 1), (0, 6), (0, 7), (1, 2), (1, 9), (1, 12), (2, 11), (3, 5), (3, 9), (3, 10), (3, 11), (3, 12), (4, 5), (4, 8), (4, 10), (4, 11), (5, 7), (5, 9), (5, 11), (6, 8), (6, 10), (7, 10), (7, 12), (8, 9), (8, 10), (11, 12)]"
306,"[(0, 1), (0, 5), (0, 8), (0, 10), (0, 11), (1, 2), (1, 4), (1, 9), (2, 6), (2, 10), (2, 11), (2, 12), (3, 5), (3, 7), (3, 10), (3, 12), (4, 8), (4, 9), (5, 6), (5, 7), (6, 11), (7, 8), (8, 12), (9, 11), (9, 12)]"
307,"[(0, 4), (0, 7), (0, 8), (0, 9), (1, 2), (1, 3), (1, 6), (1, 12), (2, 11), (3, 6), (3, 7), (3, 12), (4, 8), (4, 10), (5, 7), (5, 8), (5, 11), (6, 8), (6, 9), (9, 10), (9, 12), (10, 11), (10, 12), (11, 12)]"
308,"[(0, 4), (0, 7), (0, 11), (1, 4), (1, 5), (1, 7), (1, 12), (2, 3), (2, 5), (2, 10), (2, 12), (3, 9), (4, 8), (4, 12), (5, 6), (5, 7), (6, 7), (6, 8), (6, 11), (7, 10), (8, 9), (8, 10), (8, 11), (9, 10), (10, 12)]"
309,"[(0, 2), (0, 10), (1, 9), (1, 10), (1, 12), (2, 3), (2, 5), (2, 11), (3, 9), (3, 11), (3, 12), (4, 5), (4, 8), (4, 12), (5, 6), (6, 7), (6, 8), (6, 9), (7, 9), (7, 10), (7, 11), (8, 11), (8, 12), (10, 11)]"
310,"[(0, 3), (0, 4), (0, 6), (0, 7), (0, 11), (0, 12), (1, 4), (1, 6), (1, 7), (1, 9), (2, 4), (2, 5), (2, 8), (3, 5), (3, 7), (3, 11), (4, 6), (4, 9), (5, 8), (5, 10), (5, 12), (6, 10), (8, 10), (8, 11), (9, 12), (10, 11)]"
311,"[(0, 1), (0, 2), (0, 5), (0, 9), (0, 10), (0, 12), (1, 6), (1, 7), (1, 8), (1, 10), (2, 8), (2, 9), (3, 9), (3, 10), (4, 5), (4, 6), (4, 9), (4, 11), (5, 7), (5, 10), (6, 7), (6, 11), (7, 8), (7, 12), (11, 12)]"
312,"[(0, 9), (0, 10), (0, 12), (1, 4), (1, 8), (1, 9), (1, 11), (1, 12), (2, 3), (2, 5), (2, 9), (3, 5), (3, 7), (3, 8), (3, 12), (4, 7), (4, 9), (5, 6), (5, 8), (5, 10), (5, 11), (6, 11), (6, 12), (7, 11), (8, 10)]"
313,"[(0, 6), (0, 9), (0, 10), (0, 11), (1, 3), (1, 4), (1, 5), (1, 7), (2, 4), (2, 12), (3, 7), (3, 8), (4, 5), (4, 6), (5, 8), (5, 10), (6, 8), (6, 9), (6, 10), (7, 10), (7, 12), (8, 11), (9, 12)]"
314,"[(0, 2), (0, 4), (0, 7), (0, 9), (1, 6), (1, 7), (1, 8), (1, 10), (2, 3), (2, 10), (2, 12), (3, 5), (3, 8), (3, 11), (4, 5), (4, 6), (4, 7), (4, 12), (5, 7), (5, 11), (6, 11), (8, 12), (9, 10), (9, 11), (11, 12)]"
315,"[(0, 2), (0, 3), (0, 7), (1, 3), (1, 4), (1, 9), (2, 8), (2, 9), (2, 10), (3, 5), (3, 6), (3, 8), (4, 5), (4, 8), (4, 10), (5, 6), (5, 12), (6, 9), (6, 10), (7, 9), (7, 11), (7, 12), (8, 11), (9, 11), (11, 12)]"
316,"[(0, 3), (0, 7), (0, 10), (0, 12), (1, 4), (1, 5), (1, 6), (1, 8), (2, 8), (2, 10), (2, 12), (3, 6), (3, 11), (4, 5), (4, 7), (4, 8), (4, 9), (5, 9), (5, 10), (5, 11), (6, 11), (7, 8), (7, 11), (8, 12), (9, 12)]"
317,"[(0, 1), (0, 4), (0, 8), (0, 10), (1, 4), (1, 9), (2, 4), (2, 5), (2, 11), (2, 12), (3, 7), (3, 8), (3, 11), (3, 12), (4, 7), (4, 12), (5, 6), (5, 8), (6, 7), (6, 12), (7, 9), (7, 10), (8, 9), (9, 12), (10, 11), (11, 12)]"
318,"[(0, 4), (0, 6), (0, 8), (0, 11), (1, 2), (1, 6), (1, 8), (1, 12), (2, 3), (2, 4), (2, 8), (3, 5), (3, 7), (3, 11), (4, 5), (5, 9), (5, 11), (6, 7), (6, 9), (6, 11), (7, 9), (7, 10), (9, 11), (10, 12), (11, 12)]"
319,"[(0, 1), (0, 4), (0, 5), (0, 8), (0, 11), (1, 7), (1, 8), (1, 10), (1, 12), (2, 5), (2, 6), (2, 11), (3, 4), (3, 5), (3, 7), (3, 10), (4, 5), (4, 12), (5, 8), (6, 7), (6, 9), (7, 12), (8, 9), (9, 10), (10, 11), (10, 12)]"
320,"[(0, 3), (0, 8), (0, 9), (0, 10), (1, 2), (1, 6), (1, 7), (1, 9), (2, 7), (2, 12), (3, 4), (3, 7), (3, 8), (3, 10), (4, 5), (4, 7), (4, 8), (4, 11), (5, 6), (5, 8), (6, 11), (7, 11), (10, 11), (10, 12), (11, 12)]"
321,"[(0, 4), (0, 6), (0, 7), (0, 10), (1, 6), (1, 9), (1, 12), (2, 5), (2, 7), (2, 9), (2, 10), (2, 11), (3, 8), (3, 10), (3, 12), (4, 10), (4, 12), (5, 6), (5, 11), (6, 12), (7, 8), (8, 11), (8, 12)]"
322,"[(0, 1), (0, 5), (0, 6), (1, 4), (1, 5), (1, 11), (2, 3), (2, 8), (2, 10), (2, 11), (2, 12), (3, 4), (3, 7), (3, 9), (4, 8), (4, 11), (5, 8), (5, 10), (5, 12), (6, 7), (7, 10), (8, 10), (9, 12)]"
323,"[(0, 2), (0, 3), (0, 7), (0, 10), (0, 12), (1, 2), (1, 4), (1, 6), (2, 4), (2, 7), (2, 9), (3, 8), (3, 12), (4, 5), (4, 9), (5, 6), (5, 8), (5, 11), (6, 11), (6, 12), (7, 10), (7, 11), (8, 9), (9, 10), (9, 11), (10, 12)]"
324,"[(0, 1), (0, 4), (0, 10), (0, 11), (1, 3), (1, 9), (1, 11), (2, 5), (2, 6), (2, 12), (3, 8), (3, 10), (4, 7), (4, 9), (4, 12), (5, 7), (5, 11), (6, 7), (6, 8), (6, 9), (7, 9), (7, 11), (8, 10), (8, 11), (8, 12), (10, 12)]"
325,"[(0, 4), (0, 6), (0, 7), (0, 8), (0, 12), (1, 2), (1, 4), (1, 5), (2, 3), (2, 7), (2, 12), (3, 10), (3, 11), (4, 10), (4, 11), (4, 12), (5, 8), (6, 11), (7, 9), (7, 10), (7, 12), (8, 9), (8, 10), (9, 10), (9, 11)]"
326,"[(0, 5), (0, 7), (0, 9), (0, 12), (1, 3), (1, 8), (1, 10), (2, 6), (2, 8), (2, 9), (2, 10), (3, 4), (3, 5), (3, 11), (4, 5), (4, 6), (4, 8), (5, 7), (6, 11), (6, 12), (7, 10), (7, 11), (8, 9)]"
327,"[(0, 3), (0, 7), (0, 9), (0, 10), (1, 2), (1, 3), (1, 5), (2, 3), (2, 8), (3, 9), (4, 6), (4, 9), (4, 10), (4, 12), (5, 6), (5, 11), (6, 8), (6, 11), (6, 12), (7, 8), (7, 9), (7, 11), (7, 12), (8, 9), (9, 12), (10, 11)]"
328,"[(0, 2), (0, 3), (0, 6), (0, 7), (1, 5), (1, 6), (1, 11), (1, 12), (2, 9), (2, 10), (3, 10), (3, 11), (3, 12), (4, 5), (4, 7), (4, 9), (5, 8), (5, 11), (5, 12), (6, 12), (7, 9), (7, 12), (9, 11)]"
329,"[(0, 4), (0, 6), (0, 9), (0, 10), (1, 6), (1, 7), (1, 12), (2, 6), (2, 7), (2, 10), (2, 11), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (4, 6), (4, 8), (4, 11), (5, 6), (5, 10), (5, 12), (9, 10), (9, 11)]"
330,"[(0, 4), (0, 9), (1, 7), (1, 11), (1, 12), (2, 5), (2, 6), (2, 7), (2, 9), (3, 5), (3, 6), (3, 11), (4, 8), (4, 10), (4, 12), (5, 10), (5, 12), (6, 8), (6, 10), (8, 9), (8, 10), (9, 11), (10, 12)]"
331,"[(0, 2), (0, 3), (0, 7), (0, 8), (0, 12), (1, 2), (1, 5), (1, 10), (1, 11), (2, 5), (2, 9), (2, 11), (3, 6), (3, 12), (4, 6), (4, 7), (4, 8), (4, 9), (4, 11), (5, 8), (5, 9), (5, 10), (6, 10), (7, 8), (7, 9), (7, 12), (9, 12), (11, 12)]"
332,"[(0, 5), (0, 8), (0, 12), (1, 3), (1, 4), (1, 7), (1, 12), (2, 3), (2, 5), (2, 10), (2, 11), (3, 5), (3, 7), (4, 8), (4, 9), (4, 11), (4, 12), (5, 10), (5, 12), (6, 7), (6, 9), (6, 10), (6, 11), (8, 9), (9, 10), (9, 11), (10, 12)]"
333,"[(0, 9), (0, 11), (0, 12), (1, 4), (1, 5), (1, 9), (1, 12), (2, 3), (2, 5), (2, 6), (2, 7), (2, 9), (3, 8), (3, 10), (4, 6), (4, 7), (4, 8), (5, 6), (5, 7), (6, 11), (7, 10), (8, 9), (9, 11), (10, 12)]"
334,"[(0, 4), (0, 5), (0, 8), (0, 9), (0, 11), (1, 2), (1, 3), (1, 7), (1, 12), (2, 8), (2, 10), (3, 4), (3, 5), (3, 7), (4, 5), (4, 10), (4, 12), (5, 6), (6, 7), (6, 12), (7, 9), (7, 12), (8, 12), (9, 11), (10, 11)]"
335,"[(0, 5), (0, 7), (0, 8), (1, 2), (1, 6), (1, 11), (2, 6), (2, 12), (3, 7), (3, 8), (3, 9), (3, 10), (4, 5), (4, 6), (4, 10), (4, 12), (6, 8), (7, 8), (7, 10), (7, 11), (9, 10), (9, 12), (10, 11)]"
336,"[(0, 2), (0, 4), (0, 10), (0, 12), (1, 4), (1, 5), (1, 7), (1, 9), (2, 8), (2, 12), (3, 6), (3, 10), (4, 11), (5, 7), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (7, 8), (7, 11), (8, 11), (9, 12)]"
337,"[(0, 5), (0, 7), (0, 11), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (2, 7), (2, 10), (2, 11), (3, 6), (3, 8), (3, 11), (4, 5), (4, 6), (5, 8), (6, 7), (6, 11), (7, 9), (7, 12), (8, 12), (10, 12)]"
338,"[(0, 2), (0, 4), (0, 5), (0, 8), (1, 4), (1, 5), (1, 9), (2, 7), (2, 9), (2, 12), (3, 4), (3, 8), (3, 9), (3, 10), (4, 8), (4, 9), (4, 11), (5, 6), (5, 7), (6, 7), (6, 8), (6, 12), (7, 10), (9, 12), (10, 11), (10, 12), (11, 12)]"
339,"[(0, 3), (0, 6), (0, 11), (0, 12), (1, 3), (1, 5), (1, 7), (1, 9), (1, 11), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 12), (3, 4), (3, 11), (4, 7), (5, 12), (6, 7), (6, 10), (7, 9), (7, 10), (8, 10), (8, 11), (9, 12)]"
340,"[(0, 4), (0, 7), (0, 8), (0, 9), (1, 2), (1, 4), (1, 10), (2, 9), (2, 12), (3, 5), (3, 6), (3, 7), (4, 7), (4, 10), (5, 9), (5, 11), (6, 7), (6, 9), (6, 10), (8, 11), (8, 12), (10, 11), (11, 12)]"
341,"[(0, 5), (0, 7), (0, 9), (0, 11), (1, 4), (1, 7), (1, 10), (2, 3), (2, 4), (2, 8), (2, 12), (3, 6), (3, 9), (4, 8), (5, 7), (5, 8), (5, 9), (5, 10), (6, 7), (6, 9), (7, 10), (8, 11), (9, 12), (10, 12), (11, 12)]"
342,"[(0, 2), (0, 6), (0, 7), (1, 5), (1, 9), (1, 12), (2, 3), (2, 4), (2, 5), (3, 7), (3, 8), (3, 9), (4, 9), (4, 10), (4, 11), (5, 8), (5, 11), (6, 7), (6, 8), (6, 12), (7, 10), (7, 11), (8, 10), (9, 10), (9, 11), (10, 12)]"
343,"[(0, 1), (0, 2), (0, 7), (0, 12), (1, 5), (1, 10), (1, 12), (2, 4), (2, 11), (3, 6), (3, 9), (4, 10), (4, 12), (5, 6), (5, 11), (6, 7), (6, 10), (7, 9), (7, 10), (8, 9), (8, 11), (8, 12), (9, 11)]"
344,"[(0, 4), (0, 6), (0, 8), (0, 12), (1, 4), (1, 7), (1, 9), (1, 10), (1, 11), (2, 3), (2, 5), (2, 8), (2, 9), (3, 5), (3, 10), (3, 11), (4, 5), (4, 8), (5, 7), (6, 11), (6, 12), (7, 9), (8, 10), (9, 10), (9, 12), (10, 12)]"
345,"[(0, 4), (0, 6), (0, 8), (0, 12), (1, 3), (1, 6), (1, 8), (1, 9), (2, 6), (2, 7), (2, 8), (2, 11), (3, 4), (3, 8), (3, 11), (4, 5), (4, 6), (5, 6), (5, 10), (6, 7), (7, 10), (9, 10), (9, 12), (11, 12)]"
346,"[(0, 1), (0, 2), (0, 4), (0, 11), (1, 6), (1, 10), (1, 12), (2, 3), (2, 4), (2, 7), (2, 12), (3, 6), (3, 8), (3, 9), (4, 5), (4, 10), (5, 6), (5, 11), (6, 11), (7, 8), (7, 10), (8, 9), (8, 12), (9, 11), (10, 12), (11, 12)]"
347,"[(0, 3), (0, 5), (0, 7), (1, 2), (1, 8), (1, 9), (2, 4), (3, 7), (3, 8), (3, 11), (4, 5), (4, 10), (5, 9), (5, 12), (6, 9), (7, 10), (9, 10), (10, 11), (11, 12)]"
348,"[(0, 1), (0, 4), (0, 5), (0, 9), (1, 8), (2, 6), (3, 5), (3, 7), (4, 11), (5, 10), (6, 8), (6, 10), (6, 11), (7, 8), (9, 12), (10, 12)]"
349,"[(0, 9), (1, 3), (1, 5), (2, 3), (2, 6), (4, 8), (4, 10), (5, 9), (7, 12), (8, 9), (10, 12)]"
350,"[(0, 2), (0, 4), (1, 4), (1, 10), (1, 11), (1, 12), (2, 6), (2, 12), (3, 9), (3, 10), (4, 8), (4, 9), (5, 11), (6, 8), (7, 11), (8, 11), (10, 12)]"
351,"[(0, 3), (0, 5), (1, 3), (1, 4), (1, 8), (2, 5), (2, 8), (2, 9), (3, 6), (4, 7), (5, 6), (5, 12), (6, 8), (7, 9), (7, 10), (9, 12), (10, 11)]"
352,"[(0, 11), (1, 2), (1, 4), (1, 10), (1, 12), (2, 4), (2, 9), (3, 6), (3, 10), (4, 8), (5, 8), (5, 10), (6, 7), (6, 12), (7, 8), (9, 12), (10, 11), (11, 12)]"
353,"[(0, 8), (0, 12), (1, 3), (1, 7), (1, 10), (2, 7), (3, 5), (4, 6), (4, 10), (4, 11), (5, 6), (5, 9), (5, 11)]"
354,"[(0, 4), (0, 7), (0, 9), (0, 11), (1, 2), (1, 5), (1, 6), (1, 8), (1, 11), (2, 4), (2, 6), (2, 7), (2, 8), (3, 8), (3, 9), (3, 10), (4, 8), (4, 10), (5, 7), (6, 9), (6, 10), (6, 11), (11, 12)]"
355,"[(0, 5), (0, 7), (0, 8), (1, 6), (1, 8), (2, 3), (2, 5), (2, 7), (2, 9), (3, 6), (3, 10), (7, 10), (8, 10), (9, 11), (10, 11)]"
356,"[(1, 3), (2, 4), (2, 5), (2, 10), (3, 8), (3, 10), (4, 11), (4, 12), (5, 6), (6, 12), (7, 8), (7, 10), (7, 12), (8, 12)]"
357,"[(0, 1), (1, 2), (1, 3), (1, 12), (2, 8), (3, 6), (5, 9), (5, 11), (5, 12), (6, 9), (6, 11), (8, 10)]"
358,"[(0, 4), (0, 6), (0, 12), (1, 2), (1, 11), (1, 12), (2, 9), (2, 11), (3, 10), (3, 11), (4, 5), (4, 9), (4, 11), (5, 7), (6, 7), (6, 9), (7, 9), (8, 9)]"
359,"[(0, 3), (0, 4), (1, 9), (2, 5), (2, 9), (2, 10), (3, 6), (3, 12), (4, 5), (5, 11), (6, 9), (7, 12), (8, 12)]"
360,"[(0, 6), (0, 11), (1, 7), (1, 12), (2, 8), (2, 10), (3, 4), (3, 9), (3, 10), (3, 12), (4, 6), (4, 7), (5, 9), (6, 7), (9, 11)]"
361,"[(1, 5), (1, 7), (2, 8), (3, 6), (3, 10), (4, 7), (4, 9), (5, 8), (5, 9), (7, 12), (8, 10), (9, 10), (10, 11)]"
362,"[(0, 8), (0, 10), (0, 12), (1, 5), (1, 6), (1, 10), (1, 11), (2, 3), (2, 8), (3, 6), (4, 5), (4, 7), (6, 7), (6, 9), (6, 10), (7, 8), (8, 11), (9, 12), (10, 12)]"
363,"[(0, 2), (0, 5), (1, 4), (1, 6), (1, 8), (1, 10), (2, 7), (2, 8), (3, 4), (3, 11), (4, 12), (5, 11), (5, 12), (7, 8), (7, 10), (7, 12), (8, 11), (9, 12), (10, 12)]"
364,"[(0, 5), (1, 2), (1, 4), (1, 9), (2, 8), (2, 11), (3, 5), (3, 6), (4, 6), (5, 7), (5, 11), (6, 7), (6, 12), (8, 12), (10, 12)]"
365,"[(0, 2), (0, 4), (0, 9), (1, 11), (1, 12), (2, 10), (2, 12), (3, 11), (4, 5), (5, 6), (6, 7), (6, 8), (7, 9), (8, 10), (10, 11)]"
366,"[(0, 6), (1, 4), (2, 11), (4, 12), (5, 6), (5, 8), (5, 12), (6, 9), (6, 11), (7, 8), (8, 9), (8, 10), (8, 11), (9, 12)]"
367,"[(0, 4), (0, 9), (1, 4), (2, 9), (2, 11), (3, 4), (3, 6), (4, 5), (4, 11), (6, 9), (6, 12), (7, 10)]"
368,"[(0, 5), (0, 8), (0, 10), (1, 3), (1, 9), (2, 9), (3, 7), (4, 7), (4, 10), (4, 11), (6, 9), (6, 11), (7, 8), (11, 12)]"
369,"[(0, 7), (0, 12), (1, 3), (1, 10), (1, 11), (1, 12), (2, 10), (4, 7), (4, 9), (6, 8), (7, 10), (8, 9)]"
370,"[(0, 2), (0, 3), (1, 3), (1, 5), (1, 6), (1, 8), (2, 4), (2, 5), (2, 8), (3, 12), (4, 7), (4, 9), (5, 12), (6, 10), (7, 11), (9, 12)]"
371,"[(0, 1), (0, 11), (1, 3), (1, 4), (2, 7), (2, 8), (3, 10), (3, 12), (4, 5), (4, 7), (4, 12), (6, 11), (6, 12)]"
372,"[(0, 7), (0, 11), (1, 2), (1, 12), (2, 8), (3, 8), (3, 9), (3, 11), (4, 5), (4, 8), (4, 9), (6, 9), (8, 9), (11, 12)]"
373,"[(0, 12), (1, 3), (1, 4), (1, 7), (1, 10), (2, 10), (3, 5), (4, 7), (4, 9), (5, 7), (5, 8), (6, 10), (9, 11), (10, 11), (10, 12)]"
374,"[(0, 5), (1, 10), (2, 4), (2, 7), (3, 9), (4, 12), (5, 9), (6, 8), (7, 9), (9, 12), (10, 12)]"
375,"[(0, 3), (1, 4), (1, 9), (2, 3), (2, 4), (2, 6), (2, 10), (2, 12), (3, 4), (7, 8), (7, 9), (7, 11), (11, 12)]"
376,"[(0, 1), (0, 2), (0, 12), (2, 6), (2, 12), (3, 4), (3, 7), (3, 11), (4, 6), (5, 6), (5, 7), (5, 8), (5, 12), (6, 8), (7, 10), (8, 9), (8, 10), (9, 12)]"
377,"[(0, 5), (1, 3), (1, 6), (1, 10), (1, 12), (2, 5), (2, 6), (2, 8), (3, 5), (3, 9), (4, 10), (6, 12), (8, 11), (8, 12), (9, 11)]"
378,"[(0, 9), (1, 6), (1, 7), (1, 9), (2, 4), (2, 8), (2, 9), (3, 4), (3, 7), (3, 8), (3, 12), (4, 5), (4, 10), (5, 8), (5, 11), (6, 9), (6, 12), (7, 8), (10, 12)]"
379,"[(0, 2), (1, 3), (3, 6), (4, 9), (5, 9), (6, 7), (7, 9), (8, 11)]"
380,"[(0, 8), (0, 12), (1, 3), (1, 5), (1, 9), (2, 4), (2, 5), (2, 7), (2, 8), (3, 7), (4, 6), (4, 7), (5, 6), (5, 9), (5, 12), (6, 9), (8, 9), (8, 10), (10, 11)]"
381,"[(0, 8), (0, 9), (0, 10), (1, 2), (1, 5), (1, 9), (1, 10), (2, 4), (3, 9), (3, 11), (4, 11), (5, 6), (10, 11)]"
382,"[(0, 5), (0, 7), (0, 9), (0, 10), (1, 5), (1, 8), (1, 9), (2, 6), (3, 8), (3, 9), (3, 10), (4, 5), (4, 10), (7, 11), (7, 12), (8, 9), (8, 12), (10, 11)]"
383,"[(0, 3), (1, 5), (1, 6), (1, 8), (1, 12), (2, 8), (2, 9), (2, 10), (3, 6), (3, 8), (3, 9), (4, 5), (4, 10), (5, 7), (5, 8), (6, 12), (7, 9), (7, 11), (11, 12)]"
384,"[(0, 1), (0, 6), (2, 5), (2, 7), (4, 7), (5, 9), (6, 9), (6, 10), (7, 10), (8, 10), (9, 12), (10, 11), (10, 12)]"
385,"[(0, 5), (0, 6), (1, 4), (1, 11), (2, 4), (2, 11), (3, 4), (4, 9), (4, 12), (5, 12), (6, 7), (6, 8), (7, 10), (8, 11)]"
386,"[(0, 10), (1, 2), (1, 6), (2, 4), (3, 9), (3, 11), (4, 10), (6, 8), (8, 12)]"
387,"[(0, 2), (1, 2), (1, 7), (1, 8), (2, 3), (2, 12), (3, 5), (3, 9), (4, 10), (4, 12), (7, 9), (8, 11), (9, 10), (11, 12)]"
388,"[(0, 8), (0, 12), (2, 7), (2, 10), (2, 11), (3, 8), (3, 10), (5, 9), (5, 11), (6, 9), (7, 9), (7, 10), (10, 12), (11, 12)]"
389,"[(0, 6), (0, 8), (0, 11), (1, 6), (3, 4), (4, 5), (4, 6), (5, 7), (5, 10), (5, 11), (6, 9), (8, 12), (9, 11), (10, 12)]"
390,"[(0, 5), (0, 8), (0, 10), (1, 2), (2, 3), (2, 10), (3, 5), (5, 8), (7, 8)]"
391,"[(0, 6), (0, 7), (0, 11), (1, 9), (1, 11), (2, 11), (3, 5), (3, 9), (3, 10), (4, 6), (4, 7), (6, 9), (6, 12), (7, 8), (8, 11)]"
392,"[(0, 9), (1, 2), (1, 4), (2, 7), (2, 8), (3, 4), (3, 6), (4, 5), (4, 8), (4, 11), (5, 9), (6, 9), (9, 10), (10, 12)]"
393,"[(0, 4), (0, 5), (0, 6), (1, 2), (1, 8), (1, 9), (1, 12), (3, 7), (4, 7), (6, 8), (6, 11), (9, 11)]"
394,"[(0, 1), (0, 9), (1, 10), (1, 11), (3, 4), (3, 11), (4, 9), (4, 12), (6, 7), (6, 10), (6, 11), (7, 8), (8, 9)]"
395,"[(0, 1), (0, 5), (1, 10), (2, 3), (2, 4), (2, 10), (3, 8), (5, 8), (6, 8), (6, 10), (7, 9), (9, 12), (10, 11), (11, 12)]"
396,"[(0, 1), (0, 10), (1, 2), (1, 4), (1, 5), (1, 7), (3, 7), (3, 8), (5, 6), (5, 12), (7, 9), (9, 12)]"
397,"[(0, 2), (0, 8), (1, 4), (2, 7), (3, 7), (3, 12), (5, 6), (5, 8), (5, 10), (5, 11), (6, 12)]"
398,"[(1, 3), (1, 10), (2, 6), (2, 10), (3, 12), (4, 7), (4, 9), (4, 12), (5, 6), (6, 7), (6, 11), (6, 12), (7, 10), (9, 11)]"
399,"[(0, 5), (1, 5), (1, 7), (2, 3), (3, 10), (4, 7), (5, 6), (5, 10), (6, 7), (6, 9), (8, 9), (8, 10), (10, 11)]"
400,"[(0, 8), (1, 2), (3, 10), (4, 10), (5, 12), (7, 9), (8, 11), (8, 12), (9, 10)]"
401,"[(0, 2), (0, 3), (0, 12), (2, 9), (2, 11), (3, 9), (4, 9), (4, 10), (5, 9), (6, 7), (6, 10), (6, 12), (7, 8), (8, 11), (9, 11), (10, 12)]"
402,"[(0, 2), (0, 9), (0, 10), (1, 5), (1, 7), (2, 8), (3, 5), (3, 6), (3, 10), (4, 7), (4, 12), (6, 11), (6, 12)]"
403,"[(0, 8), (1, 3), (1, 5), (1, 10), (2, 7), (2, 12), (3, 6), (4, 7), (5, 11), (6, 9), (8, 11), (8, 12), (9, 10), (10, 12)]"
404,"[(0, 10), (1, 4), (1, 9), (2, 5), (2, 8), (2, 12), (3, 10), (4, 5), (4, 6), (4, 7), (6, 10), (7, 10), (7, 11), (8, 9)]"
405,"[(0, 1), (0, 3), (0, 6), (0, 7), (0, 8), (1, 10), (1, 11), (2, 6), (3, 8), (3, 10), (4, 5), (4, 9), (4, 10), (5, 7), (5, 12), (8, 9)]"
406,"[(0, 5), (0, 11), (1, 5), (1, 6), (2, 10), (3, 7), (4, 7), (4, 9), (5, 8), (5, 10), (5, 12), (6, 9)]"
407,"[(0, 7), (0, 8), (1, 8), (1, 11), (3, 10), (3, 11), (4, 7), (4, 11), (5, 6), (5, 12), (6, 8)]"
408,"[(0, 3), (0, 9), (1, 7), (1, 10), (1, 11), (2, 5), (2, 7), (2, 8), (3, 11), (11, 12)]"
409,"[(1, 7), (1, 11), (2, 7), (2, 8), (2, 12), (3, 5), (3, 12), (5, 8), (5, 11), (7, 12), (9, 10)]"
410,"[(0, 2), (1, 10), (2, 4), (2, 10), (2, 11), (3, 11), (4, 6), (5, 6), (5, 12), (7, 8), (7, 10)]"
411,"[(0, 6), (0, 8), (1, 2), (1, 4), (1, 11), (2, 3), (2, 6), (2, 7), (3, 5), (4, 10), (5, 8), (5, 9), (7, 10), (8, 10), (9, 10)]"
412,"[(0, 5), (0, 9), (0, 12), (1, 3), (1, 4), (1, 8), (2, 6), (4, 5), (4, 12), (5, 7), (5, 8), (6, 7), (6, 9), (8, 9), (9, 10), (10, 12)]"
413,"[(0, 1), (0, 2), (0, 3), (0, 6), (0, 8), (1, 8), (1, 10), (2, 4), (2, 5), (2, 9), (4, 5), (4, 7), (5, 6), (5, 12), (7, 8), (7, 11), (8, 9)]"
